date,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,movave_7,movstd_7,movave_30,movstd_30,movave_90,movstd_90,movave_365,movstd_365,Season,Appliances,is_holiday
2016-04-05,0.156189307,135.77878334,65.330750001,30.034983316,19.027883333,47.204000005,18.744633339,12.420633329,116.718533338,573.221816667,8.841287766999999,1027.479493742,36.979625,0.6183194444444444,9.852819444444444,1004.0749583333333,8.710875,260.65555555555557,0.0008015277777777777,0.34529166666666666,Clear,4,5,Tuesday,0,2,986.5471509904285,242.4739830448134,906.5540960957667,184.2048132029312,1050.726950106689,233.7459129631145,,,Spring,670.157272637,0
2016-04-06,74.975540601,90.40021668,79.984399995,23.709316661,19.951799994,48.782500009,15.115583345,7.5419166760000005,24.186800009,554.686416692,10.108858698,949.44334936,37.12733333333333,0.4405833333333334,10.0,1012.6108611111111,8.061472222222223,254.625,0.0,0.13401388888888888,Clear,4,6,Wednesday,0,2,992.1096554011428,240.88019580304967,906.5213501304333,184.19683238592748,1048.2542901675445,233.62583281747433,,,Spring,737.140073958,0
2016-04-07,0.113690364,202.447500006,63.052416689,31.922016661,21.000550009,48.190766675,24.323033359,13.189050006,49.15933332,340.527533344,9.126788519,803.0526789520001,41.24476388888889,0.43798611111111113,9.963222222222223,1024.1515416666666,9.158125,225.05138888888888,0.0009943055555555556,0.3948611111111111,Clear,4,7,Thursday,0,2,977.9616736604285,249.79231233183165,910.5937277080333,180.34646235019568,1043.769394289478,234.4230850645282,,,Spring,437.883240412,0
2016-04-08,0.088260759,71.815450009,61.581833342,46.702616684,21.445866651,48.946849982,9.259583339,10.383700005,36.623849999,481.243066663,4.36623788,792.457315313,50.59215277777778,0.7268333333333334,9.049152777777778,1016.1660416666667,10.557486111111112,190.0125,0.009147222222222223,0.5355972222222222,Clear,4,8,Friday,0,2,991.4651848624286,234.19950314464003,915.3838125353,174.98066622504666,1040.5296843008555,235.87071306813553,,,Spring,574.7427274199999,0
2016-04-09,57.359156814,102.612983341,60.006583333,53.767383328,21.889083328,203.466116653,32.412183335,5.822666679,48.398366698,490.830583328,8.272868091,1084.837974928,40.45323611111111,0.6167083333333333,9.92026388888889,1023.65775,7.645708333333333,291.96805555555557,0.0012208333333333333,0.17381944444444444,Clear,4,9,Saturday,1,2,1037.8550905237141,211.82732948759286,930.5008031961333,169.0847802311956,1040.779109260822,235.90595550833365,,,Spring,635.908073482,0
2016-04-10,64.588826321,103.110216661,86.273866648,51.046516684,20.421883348,225.47053333,14.990000016,13.330783339,2.745250017,432.317500002,10.806737901,1025.102114267,43.88905555555555,0.47344444444444445,9.99838888888889,1027.7031944444445,5.245277777777778,99.03472222222223,0.0,0.06206944444444444,Clear,4,10,Sunday,1,2,1002.7994077768572,185.59155654457828,944.7380562274,157.7210080175926,1038.4006194933556,234.96051186194524,,,Spring,616.932859658,0
2016-04-11,62.764105651,117.168266668,96.02803333,42.689149998,19.799533336,151.189083324,38.62978336,21.140433339,111.087150005,361.744333336,12.152355151,1034.392227498,44.458222222222226,0.4612222222222222,9.955291666666668,1029.0672361111112,5.26875,113.0125,0.0,0.008249999999999999,Clear,4,11,Monday,0,2,959.5378791514286,117.41908675992234,954.3543688064667,153.92898070715447,1036.8437339595332,234.5122832653043,,,Spring,561.476438992,0
2016-04-12,0.107743719,64.288016681,71.505683339,61.133849999,20.86718334,83.287050005,35.537016681,11.319416683,43.490149984,285.218649986,6.72187293,683.476633347,47.948249999999994,0.3987222222222222,10.0,1030.541125,5.907,81.6625,0.0,0.01640277777777778,Clear,4,12,Tuesday,0,2,910.3946133807143,151.3339442319789,952.2202681694333,157.3025904899849,1029.8086709307556,235.51944388654124,,,Spring,389.018677067,0
2016-04-13,66.947927831,128.73900001,67.946266669,62.495016672,21.00771667,52.609349991,25.158466652,20.109449989,61.857016654,346.074716657,10.321255335,863.26618313,49.577875,0.4175277777777778,10.0,1030.421263888889,5.208277777777778,87.85138888888889,0.0,0.02225,Clear,4,13,Wednesday,0,2,898.0835896335714,151.13301651042562,948.4722334555667,158.06140267693593,1025.8671190067666,235.30275374199877,,,Spring,522.086077816,0
2016-04-14,66.999426239,78.9782,82.29848335,52.583033319,19.640733329,211.59678333,16.306266635,18.929816676,74.165733358,255.437733327,6.2279066290000005,883.164116192,57.659499999999994,0.44575,9.99838888888889,1023.8485277777777,3.6215277777777777,186.07222222222222,0.0,0.03720833333333333,Clear,4,14,Thursday,0,2,909.5280806678572,145.67201410177805,948.3447786230666,158.11422387712392,1024.937672004311,235.70350150560236,,,Spring,443.306192921,0
2016-04-15,0.031134399,61.93613331,80.897599973,35.799083319,20.023633317,96.945499996,10.345883334,7.628800023,25.536433332,259.512249969,5.630659229,604.287110201,57.84488888888889,0.448875,9.997583333333333,1016.5558055555556,7.839791666666666,187.07361111111112,7.25e-05,0.19783333333333333,Clear,4,15,Friday,0,2,882.6466227947142,183.36221469352637,940.3351766793,169.24640896660068,1018.8182383375,239.40815430427645,,,Spring,368.093417681,0
2016-04-16,0.029767343,51.560816647,64.360516665,36.763183335,19.827116654,48.859733328,11.997633308,6.689266675,2.155499981,225.403083321,0.9549292610000001,468.601546518,51.87843055555556,0.31068055555555557,10.0,1021.0283472222222,9.304555555555556,261.58194444444445,0.0,0.034194444444444444,Clear,4,16,Saturday,1,2,794.6128473075713,215.2644008306013,931.292014932,186.67596972084354,1010.0731674663444,244.96984528766708,,,Spring,316.309750658,0
2016-04-17,104.910845122,107.707666674,99.318649984,40.561833338,25.956016664,61.495600003,28.785333298,51.733600024,9.209566675,224.234149966,9.936593192,763.84985494,52.15595833333334,0.45770833333333333,9.970194444444445,1020.1910416666667,5.762611111111111,214.50972222222222,0.0,0.023805555555555555,Clear,4,17,Sunday,1,2,757.2910959751428,189.7819982892745,922.2802497793,188.05717219726543,1001.9953987401777,240.89062235135682,,,Spring,506.15326175999996,0
2016-04-18,32.1442284,107.057066648,86.91558332,57.996333318,25.424983316,62.286666655,32.960949993999996,16.291233346,90.683033338,148.751716676,10.523274191,671.035069202,62.96619444444445,0.55125,9.828083333333334,1012.4777777777778,4.785013888888889,190.96805555555557,0.00554625,0.17558333333333334,Clear,4,18,Monday,0,2,705.3829305042857,146.0006294584675,912.0247880915999,193.19325147330312,991.7893416825889,235.10509469819118,,,Spring,309.527745058,0
2016-04-19,77.561260921,151.336199983,105.758866677,59.03393333,19.938549985999998,67.91658332,19.234433308,11.277899998,53.599416644,145.857233322,13.502472896,725.016850385,60.00454166666666,0.6924861111111111,8.181388888888888,1009.7877638888888,7.317430555555556,259.6347222222222,0.00206625,0.2519027777777778,Clear,4,19,Tuesday,0,2,711.3172472240001,145.80591835487013,897.2791012278666,189.88418957351956,986.9431741672333,236.0676325590592,,,Spring,360.393810904,0
2016-04-20,8.60269548,96.70428334,93.460566659,45.301099993,21.166183341,51.391249989,12.803049961,11.180133337000001,30.267249982,137.892649999,12.571258908999999,521.34042099,48.57326388888889,0.31927777777777777,9.99838888888889,1016.2780277777779,7.814013888888889,223.2888888888889,0.0,0.017236111111111112,Clear,4,20,Wednesday,0,2,662.4707097754286,143.6761525107863,880.1116364312333,199.89373757718937,979.5449211454332,240.12050581830536,,,Spring,272.302228816,0
2016-04-21,64.512013703,143.652966661,71.964016677,45.656149988,19.191500004,52.341933337,17.718900001999998,30.29123334,38.289066658,155.00556666,12.840220067,651.463567097,51.410666666666664,0.3984583333333333,10.0,1015.8919166666667,3.3381944444444445,236.70833333333334,0.0,0.2773055555555555,Clear,4,21,Thursday,0,2,629.3706313332857,106.14714001946933,869.8961254369334,203.5767581229702,974.0462078913556,241.917486688622,,,Spring,340.964330384,0
2016-04-22,59.519764293,60.916133326,103.692966685,67.990916677,19.375133353,162.269266659,12.906849978,5.844233341,37.048150023,134.164950002,12.064975866,675.793340203,44.423902777777776,0.7137083333333334,8.893569444444445,1009.6149305555556,5.611305555555555,47.66388888888889,0.008913472222222222,0.695861111111111,Clear,4,22,Friday,0,2,639.5858070478571,106.76978986596082,861.8137214025667,206.38413614596496,965.558716021489,238.77756021403056,,,Spring,322.597047674,0
2016-04-23,0.101309183,57.646716676,86.841883344,174.428866666,19.234249994,52.417283344,15.028033315,7.666483326,53.450883352,172.02608334,5.482403156,644.3241956960001,46.36280555555556,0.5939166666666666,9.084888888888889,1011.8902638888889,4.908805555555555,271.125,0.0,0.10633333333333334,Clear,4,23,Saturday,1,2,664.6890426447143,76.12966579477917,856.2062451792667,210.0221050975446,960.1624645380667,240.50145705448887,,,Spring,285.870009187,0
2016-04-24,0.018261332,125.459233313,92.462833352,144.367699992,25.235150005,47.494716669,30.241133334,12.115299999,65.861966673,149.723816669,13.757104865,706.737216203,47.672138888888895,0.39661111111111114,9.984291666666666,1015.9825833333333,4.832805555555556,234.78472222222223,4.430555555555556e-05,0.035041666666666665,Clear,4,24,Sunday,1,2,656.5300942537142,66.13566765463537,849.8794713339666,211.61795082842113,954.7865896022888,240.70080752148357,,,Spring,279.55536135700004,0
2016-04-25,134.639867299,110.09868333,129.783233339,28.171266656,22.597900013,80.172000008,26.04571669,53.967066688,80.952566679,158.510916664,16.293359508,841.232576874,49.97054166666667,0.5162916666666667,9.99838888888889,1019.2592916666666,5.412680555555555,144.76944444444445,0.0006806944444444444,0.14216666666666666,Clear,4,25,Monday,0,2,680.8440239211429,96.61780527201374,840.2035064077334,204.82389262206252,952.3247299325778,240.71672868253745,,,Spring,499.49898400300003,0
2016-04-26,9.449190492,116.935166669,84.752166648,27.140833339,19.302283322,49.30253333,13.774200046,12.246400020000001,47.940249994,312.297533312,9.559358452,702.699915624,52.78136111111111,0.5469583333333333,9.985097222222223,1021.9503194444444,5.7559861111111115,185.92222222222222,0.00015708333333333332,0.25495833333333334,Clear,4,26,Tuesday,0,2,677.6558903838571,95.27617209079138,835.3616459349668,206.34552665976915,949.7888053211221,242.14260200449576,,,Spring,438.04757379399996,0
2016-04-27,70.703998892,87.09513335,72.75245002,37.675583313,19.396283349,59.987716685,16.130900019,7.725516662,39.226049992,278.077500011,12.250306678,701.021438971,45.07641666666667,0.7296944444444444,8.865972222222222,1021.8434861111111,4.347041666666667,140.36944444444444,0.0031076388888888885,0.5967222222222222,Clear,4,27,Wednesday,0,2,703.3246072382857,65.78314820166261,826.2019461711,205.99461658031674,945.9221297068334,243.3158777087361,,,Spring,448.6557489339999,0
