date,total_house_usage,total_house_usage_log
2016-07-16,893.891414456,6.7967023862842595
2016-07-17,1037.194015175,6.945237958759869
2016-07-18,1049.473441369,6.956996238070174
2016-07-19,576.877535771,6.359361970394803
2016-07-20,792.257797299,6.676148259975664
2016-07-21,673.154501607,6.513459315513845
2016-07-22,631.542512147,6.449747431223623
2016-07-23,474.757212782,6.164907666927335
2016-07-24,511.415280192,6.239135390405425
2016-07-25,1220.262427133,7.107640379053838
2016-07-26,1157.56541427,7.054937806905036
2016-07-27,795.52401731,6.680257282454816
2016-07-28,1031.776233234,6.940005827294377
2016-07-29,1122.142997996,7.023886282336304
2016-07-30,1443.061328955,7.275214790126364
2016-07-31,706.289135349,6.561439543184536
2016-08-01,898.394836971,6.801722133794224
2016-08-02,537.033488339,6.287920804207855
2016-08-03,669.472502678,6.507982691706296
2016-08-04,615.720887118,6.4244165505952955
2016-08-05,822.84934989,6.713987685391033
2016-08-06,953.449612247,6.861134852088774
2016-08-07,1020.391714401,6.928921402178487
2016-08-08,1341.737831255,7.2024659661900445
2016-08-09,1017.787878334,6.926368845050618
2016-08-10,854.199995452,6.751335354392781
2016-08-11,1194.74374193,7.086523648952732
2016-08-12,1138.545178901,7.0383844959041655
2016-08-13,1488.962094856,7.30650595892195
2016-08-14,1351.334159664,7.209587385578821
2016-08-15,1343.639775198,7.203881431032785
2016-08-16,1112.591558746,7.01534570940236
2016-08-17,992.27483441,6.901007397563609
2016-08-18,1006.479564834,6.915207010571958
2016-08-19,984.183963484,6.8928283886920605
2016-08-20,685.103083541,6.531027883989326
2016-08-21,801.670818861,6.687944690746807
2016-08-22,890.859063589,6.793308119635859
2016-08-23,657.124322249,6.489393853066627
2016-08-24,726.931481938,6.590206925550255
2016-08-25,858.3226440130001,6.756144455668707
2016-08-26,738.988961499,6.606635269193714
2016-08-27,500.742253863,6.218086549317118
2016-08-28,690.80758993,6.53930786772071
2016-08-29,1297.785523179,7.1691848938615195
2016-08-30,724.151434786,6.586380508610107
2016-08-31,664.858196929,6.501076730346211
2016-09-01,674.8028468690001,6.51590138686232
2016-09-02,740.508943199,6.608687222461424
2016-09-03,884.997083527,6.786713658869415
2016-09-04,831.770294795,6.7247578475903955
