date,total_house_usage,Temperature,Humidity,Visibility,Pressure,Wind speed,Wind bearing,Percipitation intensity,Cloud cover,Summary,Month,Day,Weekday,is_weekend,Quarter,Season,is_holiday,total_house_usage_log
2016-05-04,780.163980796,50.88116666666667,0.6029444444444445,9.367263888888887,1007.3697638888888,10.493347222222225,250.40833333333333,0.0019644444444444,0.294125,Clear,5,4,Wednesday,0,2,Spring,0,6.660785090407537
2016-05-05,832.917018899,50.56341666666667,0.4609444444444444,10.0,1018.0240138888888,9.106097222222225,299.99305555555554,0.0,0.0895555555555555,Clear,5,5,Thursday,0,2,Spring,0,6.7261338996854985
2016-05-06,876.4676998909999,54.52377777777778,0.47675,9.986305555555557,1021.1933472222222,5.129236111111111,252.79305555555555,0.0,0.0272222222222222,Clear,5,6,Friday,0,2,Spring,0,6.777040145421519
2016-05-07,989.525071491,60.61372222222222,0.4272361111111111,10.0,1020.1320416666666,3.1516805555555556,171.88055555555556,0.0,0.0231111111111111,Clear,5,7,Saturday,1,2,Spring,0,6.898235177772832
2016-05-08,953.00779048,64.55319444444444,0.4774583333333333,9.990333333333334,1015.4965555555556,5.178944444444444,178.20277777777778,0.0,0.0868888888888888,Clear,5,8,Sunday,1,2,Spring,0,6.860671837536537
2016-05-09,961.89271797,60.29972222222223,0.8226388888888888,7.183375,1007.9034722222224,4.620875,227.06944444444449,0.0071130555555555,0.4277361111111111,Clear,5,9,Monday,0,2,Spring,0,6.869942001615087
2016-05-10,650.203538357,57.11654166666667,0.5902777777777778,9.780486111111111,1003.0405555555554,11.80165277777778,247.89444444444445,0.0035001388888888,0.2365694444444444,Clear,5,10,Tuesday,0,2,Spring,0,6.47882224826847
2016-05-11,471.205559139,45.36372222222222,0.4733611111111111,10.0,1010.63075,14.022777777777778,278.4611111111111,0.0,0.2514722222222222,Clear,5,11,Wednesday,0,2,Spring,0,6.1574143974304825
2016-05-12,772.092734714,52.98813888888889,0.4884166666666667,9.995569444444444,1018.1127916666666,9.718819444444446,261.81944444444446,0.0,0.1385416666666666,Clear,5,12,Thursday,0,2,Spring,0,6.650399008680409
2016-05-13,800.549798696,56.69291666666667,0.5097777777777778,9.974222222222222,1019.5494444444444,5.777583333333333,178.50416666666666,0.0,0.109375,Clear,5,13,Friday,0,2,Spring,0,6.686547101992241
2016-05-14,393.924842946,58.82015277777778,0.5469166666666666,9.964152777777777,1018.5485277777778,4.01225,195.42361111111111,0.0004080555555555,0.2508333333333333,Clear,5,14,Saturday,1,2,Spring,0,5.97869547577451
2016-05-15,830.368934508,56.80755555555556,0.6736805555555556,8.099291666666666,1021.4745277777778,3.3632361111111115,206.1263888888889,0.0015172222222222,0.150625,Clear,5,15,Sunday,1,2,Spring,0,6.723073660842593
2016-05-16,943.613072921,59.53438888888889,0.5893055555555555,9.745847222222222,1020.338375,4.4875,195.98888888888888,0.0,0.0646805555555555,Clear,5,16,Monday,0,2,Spring,0,6.850775397003133
2016-05-17,694.571685301,60.34330555555555,0.5985972222222222,9.993555555555556,1011.1266527777776,4.176027777777778,173.25972222222222,0.0001288888888888,0.2128194444444444,Clear,5,17,Tuesday,0,2,Spring,0,6.544734076218919
2016-05-18,768.137450366,62.9065,0.6362361111111111,9.006291666666666,1012.0794166666668,4.4215277777777775,63.09444444444444,0.0005558333333333,0.1432638888888888,Clear,5,18,Wednesday,0,2,Spring,0,6.645269692631244
